Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2047.0,-3.0,+10
2,Arizona,1969.0,-0.2,+5
3,Kansas,1964.0,-0.2,+14
4,Houston,1959.0,-0.5,+33
5,Villanova,1946.0,-0.3,+5
6,Baylor,1939.0,-0.7,-23
7,UCLA,1920.0,-0.0,+31
8,Tennessee,1919.0,-0.2,-8
9,Iowa,1915.0,-0.6,-7
10,Texas Tech,1900.0,-0.1,+14
11,Purdue,1898.0,-0.4,-17
12,Auburn,1889.0,-0.4,+5
13,Illinois,1880.0,-0.3,+4
14,Duke,1872.0,-0.2,+5
15,Kentucky,1868.0,-0.1,-45
16,UNC,1865.0,-0.0,+59
17,Arkansas,1864.0,-0.4,+17
18,Memphis,1853.0,-0.4,-8
19,Saint Mary's,1844.0,-0.1,+2
20,Michigan,1842.0,-0.0,+50
21,Wisconsin,1841.0,-0.7,+8
22,Texas,1822.0,-0.0,+21
23,Providence,1822.0,-0.4,+47
24,UConn,1812.0,-0.0,-29
25,San Diego State,1811.0,-0.0,-13
26,Virginia Tech,1810.0,-0.2,-21
27,Creighton,1804.0,-0.3,+4
28,Oklahoma,1796.0,-0.1,+21
29,Boise State,1794.0,-0.1,-20
30,USC,1791.0,-0.2,-12
31,Texas A&M,1787.0,-0.2,+5
32,Michigan State,1782.0,-0.0,+9
33,Oklahoma State,1781.0,-0.1,+0
34,Notre Dame,1779.0,-0.0,+34
35,Dayton,1778.0,-0.2,+27
36,Loyola (IL),1772.0,-0.2,-31
37,TCU,1768.0,-0.0,+44
38,Davidson,1768.0,-0.1,-23
39,Ohio State,1766.0,-0.0,+31
40,Miami (FL),1765.0,-0.0,+12
41,SMU,1764.0,-0.3,+5
42,BYU,1756.0,-0.1,+40
43,North Texas,1754.0,-0.1,+8
44,Rutgers,1752.0,-0.4,-11
45,San Francisco,1741.0,-0.0,-14
46,Wake Forest,1741.0,-0.0,+33
47,Colorado State,1740.0,-0.0,-21
48,Murray State,1740.0,-0.1,-24
49,LSU,1737.0,-0.1,-21
50,UAB,1735.0,,-10
